delta_baseline,delta_partitions,speed_up_rates
1.9341388602256775,1.699527288913727,0.12130027276561506
1.8407990946769714,1.6845589509010315,0.08487626065643927
1.8503455214500428,1.6981283264160156,0.08226420053414707
1.8663154106140136,1.6986899161338807,0.08981627303017581
1.8674038991928101,1.6804598908424377,0.10010903823815476
1.8456011204719542,1.6966197271347048,0.08072242245884209
1.8500639753341674,1.6948859128952025,0.08387713317369794
1.8350089631080628,1.677912952899933,0.08561048657879411
1.8472236766815187,1.6840686368942261,0.08832446327257759
1.853781455516815,1.6770429782867433,0.0953394353493513
1.8577428460121155,1.6988593230247497,0.08552503557122004
1.847002038002014,1.6920276422500609,0.08390591486276644
1.8474927983283995,1.6954369349479677,0.08230390046337999
1.865610200405121,1.7103961853981018,0.08319745195074202
1.8771634216308595,1.7079502820968628,0.09014299851793728
1.847706699371338,1.7144087409973146,0.07214237975073456
1.8487612380981446,1.6990338768959046,0.08098793836475471
1.8504673881530762,1.713073285102844,0.07424832446648144
1.8600489025115967,1.701506185054779,0.08523577914684921
1.8764686708450318,1.6974574050903322,0.09539795070177504
